id_envio;corredor_de_armazenagem;metodo_de_envio;ligações_do_cliente;avaliação_do_cliente;preço;qtd_itens;importancia;genero;desconto;peso_g;Chegou_no_tempo;Destino;DataEnvio;dataEntrega;avaliacaoEntrega
32;F;PAC;5;3;257;2;low;F;61;3341;1;Mato Grosso do Sul;domingo, 15 de maio de 2022;quinta-feira, 19 de maio de 2022;5
33;A;PAC;3;1;223;3;low;F;22;3795;1;Maranhão;quinta-feira, 13 de janeiro de 2022;terça-feira, 18 de janeiro de 2022;4
34;B;PAC;4;2;234;3;medium;M;4;3261;1;São Paulo;sábado, 8 de janeiro de 2022;terça-feira, 11 de janeiro de 2022;4
35;C;PAC;4;2;227;4;medium;F;22;2460;1;Bahia;quinta-feira, 19 de setembro de 2024;sábado, 21 de setembro de 2024;5
36;F;PAC;5;4;149;3;medium;F;44;1811;1;Rio Grande do Sul;domingo, 27 de fevereiro de 2022;segunda-feira, 28 de fevereiro de 2022;5
37;D;PAC;3;5;137;4;high;F;62;1477;1;Mato Grosso;terça-feira, 21 de dezembro de 2021;quarta-feira, 22 de dezembro de 2021;4
38;F;PAC;2;4;181;6;medium;F;16;3605;1;Minas Gerais;terça-feira, 15 de setembro de 2020;sexta-feira, 18 de setembro de 2020;4
39;A;PAC;5;1;215;4;low;F;56;3905;1;Tocantins;quarta-feira, 19 de julho de 2023;domingo, 23 de julho de 2023;4
40;B;PAC;4;2;269;5;low;F;45;2383;1;Bahia;quarta-feira, 9 de fevereiro de 2022;sexta-feira, 11 de fevereiro de 2022;4
41;C;PAC;5;1;227;2;low;M;15;3798;1;#REF!;sexta-feira, 21 de abril de 2023;terça-feira, 25 de abril de 2023;5
42;F;PAC;5;5;139;4;medium;M;61;1265;1;Pará;terça-feira, 21 de junho de 2022;quinta-feira, 23 de junho de 2022;4
43;D;PAC;3;5;137;2;medium;M;38;1647;1;Distrito Federal;domingo, 30 de abril de 2023;sexta-feira, 5 de maio de 2023;5
44;F;PAC;3;1;174;2;low;M;44;1556;1;Santa Catarina;terça-feira, 16 de julho de 2024;quarta-feira, 17 de julho de 2024;5
45;A;PAC;3;1;151;2;low;M;29;1328;1;Tocantins;segunda-feira, 15 de janeiro de 2024;quinta-feira, 18 de janeiro de 2024;4
46;B;PAC;5;1;210;3;low;F;9;2944;1;Mato Grosso;terça-feira, 20 de setembro de 2022;quinta-feira, 22 de setembro de 2022;5
47;C;PAC;3;4;169;4;medium;F;32;1245;1;Maranhão;quinta-feira, 29 de outubro de 2020;segunda-feira, 2 de novembro de 2020;4
48;F;PAC;5;1;160;2;low;M;32;1576;1;Pará;domingo, 26 de maio de 2024;quarta-feira, 29 de maio de 2024;5
49;D;PAC;5;4;190;2;medium;M;9;3753;1;Distrito Federal;terça-feira, 15 de agosto de 2023;domingo, 20 de agosto de 2023;4
50;F;PAC;5;3;216;3;low;F;40;2146;1;Rio de Janeiro;sábado, 24 de julho de 2021;terça-feira, 27 de julho de 2021;5
51;A;PAC;4;1;183;3;low;M;37;2042;1;Paraná;segunda-feira, 15 de julho de 2024;terça-feira, 16 de julho de 2024;5
52;B;PAC;4;4;141;3;low;M;22;1735;1;Espírito Santo;sábado, 12 de outubro de 2024;segunda-feira, 14 de outubro de 2024;5
53;C;PAC;4;3;165;3;low;F;44;1320;1;Santa Catarina;quarta-feira, 22 de novembro de 2023;segunda-feira, 27 de novembro de 2023;4
54;F;PAC;2;1;170;3;low;M;41;1128;1;#REF!;terça-feira, 21 de novembro de 2023;sexta-feira, 24 de novembro de 2023;5
55;D;PAC;4;3;203;3;high;M;12;3539;1;Paraná;domingo, 14 de janeiro de 2024;segunda-feira, 15 de janeiro de 2024;4
56;F;PAC;2;5;246;5;low;M;46;2437;1;Tocantins;terça-feira, 9 de março de 2021;domingo, 14 de março de 2021;4
57;A;PAC;3;3;238;3;low;F;61;3096;1;Mato Grosso do Sul;quinta-feira, 27 de agosto de 2020;sábado, 29 de agosto de 2020;4
58;B;PAC;3;3;193;3;medium;F;29;3453;1;Santa Catarina;quarta-feira, 1 de fevereiro de 2023;sábado, 4 de fevereiro de 2023;4
59;C;PAC;5;5;141;3;high;M;41;1367;1;Sergipe;quarta-feira, 1 de dezembro de 2021;segunda-feira, 6 de dezembro de 2021;4
60;F;PAC;4;1;150;3;high;F;17;1923;1;Paraná;quinta-feira, 30 de maio de 2024;sexta-feira, 31 de maio de 2024;5
61;D;PAC;3;1;221;3;low;F;64;2794;1;Acre;terça-feira, 1 de dezembro de 2020;quinta-feira, 3 de dezembro de 2020;5
62;F;PAC;3;3;179;3;medium;M;52;1158;1;Alagoas;terça-feira, 27 de junho de 2023;quinta-feira, 29 de junho de 2023;5
63;A;PAC;5;1;105;6;medium;M;62;1292;1;Piauí;sexta-feira, 9 de setembro de 2022;terça-feira, 13 de setembro de 2022;5
64;B;PAC;3;1;177;3;medium;M;61;1880;1;Rondônia;quinta-feira, 12 de março de 2020;domingo, 15 de março de 2020;4
65;C;PAC;4;5;261;2;high;M;49;3045;1;Mato Grosso do Sul;quarta-feira, 18 de outubro de 2023;segunda-feira, 23 de outubro de 2023;4
66;F;PAC;3;2;202;3;low;M;49;2881;1;Rio Grande do Norte;quinta-feira, 28 de julho de 2022;terça-feira, 2 de agosto de 2022;5
67;D;PAC;3;2;109;3;medium;F;15;1710;1;Rio de Janeiro;sexta-feira, 3 de setembro de 2021;terça-feira, 7 de setembro de 2021;4
68;F;PAC;3;3;158;3;low;F;6;1878;1;Bahia;sábado, 18 de março de 2023;terça-feira, 21 de março de 2023;5
69;A;PAC;4;2;231;4;medium;F;6;2512;1;Distrito Federal;sexta-feira, 6 de março de 2020;sábado, 7 de março de 2020;4
70;B;PAC;3;5;206;3;medium;M;39;2929;1;Mato Grosso do Sul;quinta-feira, 27 de fevereiro de 2020;terça-feira, 3 de março de 2020;4
71;C;PAC;5;1;187;4;high;M;14;3849;1;Rio de Janeiro;sexta-feira, 29 de outubro de 2021;quarta-feira, 3 de novembro de 2021;4
72;F;PAC;5;5;230;2;low;F;2;2229;1;Rio Grande do Sul;quarta-feira, 12 de abril de 2023;sábado, 15 de abril de 2023;5
73;D;PAC;5;5;232;3;medium;F;33;2998;1;Rondônia;quinta-feira, 11 de julho de 2024;sábado, 13 de julho de 2024;4
74;F;PAC;4;5;215;3;medium;F;21;3984;1;Minas Gerais;sexta-feira, 13 de agosto de 2021;domingo, 15 de agosto de 2021;4
75;A;PAC;6;1;238;6;low;F;13;2442;1;Amazonas;segunda-feira, 16 de maio de 2022;sábado, 21 de maio de 2022;4
76;B;PAC;4;1;266;3;low;F;23;3775;1;Espírito Santo;terça-feira, 9 de julho de 2024;sábado, 13 de julho de 2024;5
77;C;PAC;2;3;158;2;medium;F;36;1788;1;Pará;sexta-feira, 3 de setembro de 2021;quarta-feira, 8 de setembro de 2021;5
78;F;PAC;3;3;113;3;low;F;43;1518;1;Maranhão;domingo, 21 de maio de 2023;quinta-feira, 25 de maio de 2023;4
79;D;PAC;3;4;223;3;low;M;18;3959;1;Piauí;domingo, 25 de abril de 2021;quinta-feira, 29 de abril de 2021;4
80;F;PAC;3;5;257;2;medium;F;56;3711;1;Espírito Santo;sexta-feira, 19 de janeiro de 2024;quarta-feira, 24 de janeiro de 2024;4
81;A;PAC;3;4;180;2;medium;F;49;1942;1;Minas Gerais;quarta-feira, 3 de agosto de 2022;segunda-feira, 8 de agosto de 2022;4
82;B;PAC;2;5;132;3;low;M;18;1759;1;Espírito Santo;quinta-feira, 1 de julho de 2021;segunda-feira, 5 de julho de 2021;5
83;C;PAC;4;4;217;3;high;F;26;2875;1;Pará;quinta-feira, 8 de abril de 2021;sábado, 10 de abril de 2021;5
84;F;PAC;5;5;162;3;high;F;31;1364;1;Santa Catarina;segunda-feira, 30 de março de 2020;quinta-feira, 2 de abril de 2020;4
85;D;PAC;4;5;197;2;medium;F;40;2710;1;Alagoas;terça-feira, 9 de março de 2021;sábado, 13 de março de 2021;5
86;F;PAC;3;4;197;3;medium;M;13;2148;1;Paraná;quarta-feira, 6 de outubro de 2021;domingo, 10 de outubro de 2021;5
87;A;PAC;4;1;185;2;low;M;44;2910;1;Distrito Federal;terça-feira, 10 de outubro de 2023;quarta-feira, 11 de outubro de 2023;5
88;B;PAC;6;2;278;3;medium;F;3;2974;1;Tocantins;domingo, 25 de dezembro de 2022;quinta-feira, 29 de dezembro de 2022;4
89;C;PAC;3;3;229;3;low;M;49;2339;1;Mato Grosso do Sul;sábado, 6 de julho de 2024;segunda-feira, 8 de julho de 2024;5
90;F;PAC;4;1;186;4;medium;F;57;3880;1;Sergipe;quinta-feira, 24 de junho de 2021;segunda-feira, 28 de junho de 2021;5
91;D;PAC;5;3;174;6;high;F;41;1085;1;Rio Grande do Norte;segunda-feira, 21 de novembro de 2022;quinta-feira, 24 de novembro de 2022;5
92;F;PAC;5;5;286;3;low;F;18;3163;1;Paraíba;sábado, 11 de dezembro de 2021;segunda-feira, 13 de dezembro de 2021;4
93;A;PAC;4;4;175;2;medium;F;7;1188;1;Roraima;quinta-feira, 7 de janeiro de 2021;terça-feira, 12 de janeiro de 2021;4
94;B;PAC;3;3;219;3;medium;F;17;3387;1;Piauí;quinta-feira, 26 de maio de 2022;terça-feira, 31 de maio de 2022;5
95;C;PAC;4;1;213;4;high;F;35;2343;1;Bahia;quinta-feira, 12 de maio de 2022;sábado, 14 de maio de 2022;5
96;F;PAC;2;3;235;3;low;M;57;2034;1;Rio Grande do Norte;segunda-feira, 24 de julho de 2023;quinta-feira, 27 de julho de 2023;4
97;D;PAC;3;3;149;2;medium;M;18;1225;1;Sergipe;terça-feira, 13 de julho de 2021;quarta-feira, 14 de julho de 2021;5
98;F;PAC;4;1;271;2;medium;F;8;2401;1;Rio de Janeiro;sexta-feira, 8 de março de 2024;sábado, 9 de março de 2024;5
99;A;PAC;3;5;144;4;medium;M;5;1104;1;Santa Catarina;sexta-feira, 1 de setembro de 2023;terça-feira, 5 de setembro de 2023;5
100;B;PAC;4;2;145;2;medium;M;21;1617;1;Santa Catarina;sábado, 22 de agosto de 2020;terça-feira, 25 de agosto de 2020;5
101;C;PAC;5;3;143;2;medium;M;59;1837;1;Alagoas;domingo, 27 de novembro de 2022;segunda-feira, 28 de novembro de 2022;5
102;F;PAC;5;5;227;4;low;M;53;2624;1;Alagoas;sábado, 2 de dezembro de 2023;domingo, 3 de dezembro de 2023;5
103;D;PAC;2;1;213;3;low;M;29;2732;1;Mato Grosso;terça-feira, 7 de junho de 2022;sexta-feira, 10 de junho de 2022;4
104;F;PAC;5;1;144;4;low;M;37;1658;1;Minas Gerais;terça-feira, 7 de maio de 2024;sábado, 11 de maio de 2024;4
105;A;PAC;3;3;218;3;low;M;3;2255;1;Acre;quinta-feira, 15 de outubro de 2020;domingo, 18 de outubro de 2020;5
106;B;PAC;4;2;144;3;medium;M;59;1588;1;Tocantins;terça-feira, 6 de fevereiro de 2024;quarta-feira, 7 de fevereiro de 2024;4
107;C;PAC;3;1;238;3;low;M;17;2624;1;Roraima;sábado, 8 de maio de 2021;terça-feira, 11 de maio de 2021;4
108;F;PAC;4;5;216;3;high;M;26;2053;1;Rondônia;sexta-feira, 20 de setembro de 2024;domingo, 22 de setembro de 2024;5
109;D;PAC;4;5;238;3;high;F;55;3257;1;Bahia;domingo, 10 de novembro de 2024;terça-feira, 12 de novembro de 2024;5
110;F;PAC;4;1;141;3;medium;M;47;1250;1;São Paulo;domingo, 17 de janeiro de 2021;terça-feira, 19 de janeiro de 2021;5
111;A;sedex;3;1;158;2;low;M;2;1284;1;Pernambuco;quarta-feira, 22 de dezembro de 2021;sexta-feira, 24 de dezembro de 2021;5
112;B;sedex;4;2;239;3;low;F;65;3679;1;Pernambuco;sexta-feira, 3 de julho de 2020;segunda-feira, 6 de julho de 2020;4
113;C;sedex;4;3;175;2;low;M;25;1816;1;Sergipe;sexta-feira, 22 de setembro de 2023;terça-feira, 26 de setembro de 2023;5
114;F;sedex;3;2;263;3;low;M;41;2817;1;Mato Grosso do Sul;quinta-feira, 2 de junho de 2022;terça-feira, 7 de junho de 2022;5
115;D;sedex;3;5;168;2;high;M;50;1616;1;Rio de Janeiro;sábado, 12 de fevereiro de 2022;quarta-feira, 16 de fevereiro de 2022;5
116;F;sedex;3;4;176;3;high;M;36;1779;1;Rio Grande do Norte;segunda-feira, 25 de julho de 2022;quarta-feira, 27 de julho de 2022;5
117;A;sedex;4;1;150;4;high;M;60;1024;1;Mato Grosso;terça-feira, 5 de setembro de 2023;domingo, 10 de setembro de 2023;4
118;B;sedex;4;3;265;2;medium;F;31;2326;1;Pará;sexta-feira, 9 de dezembro de 2022;terça-feira, 13 de dezembro de 2022;4
119;C;sedex;2;5;263;3;low;F;5;2947;1;Santa Catarina;sexta-feira, 12 de abril de 2024;sábado, 13 de abril de 2024;5
120;F;sedex;5;1;145;3;low;M;20;1387;1;Pará;sábado, 8 de julho de 2023;domingo, 9 de julho de 2023;5
121;D;sedex;4;2;183;3;low;F;33;2741;1;Tocantins;quarta-feira, 21 de agosto de 2024;sábado, 24 de agosto de 2024;5
122;F;sedex;3;3;205;3;medium;F;19;2167;1;Sergipe;sexta-feira, 14 de fevereiro de 2020;terça-feira, 18 de fevereiro de 2020;5
123;A;sedex;4;2;160;3;low;M;64;1714;1;Sergipe;domingo, 15 de dezembro de 2024;quarta-feira, 18 de dezembro de 2024;5
124;B;sedex;3;3;252;2;medium;F;48;2102;1;Tocantins;segunda-feira, 23 de agosto de 2021;sexta-feira, 27 de agosto de 2021;4
125;C;sedex;5;5;222;3;low;M;10;2280;1;Pará;domingo, 28 de novembro de 2021;quarta-feira, 1 de dezembro de 2021;4
126;F;sedex;3;3;203;2;low;M;25;3607;1;Mato Grosso;segunda-feira, 25 de dezembro de 2023;sexta-feira, 29 de dezembro de 2023;5
127;D;sedex;4;5;220;3;medium;M;40;3516;1;Sergipe;quinta-feira, 8 de julho de 2021;terça-feira, 13 de julho de 2021;5
128;F;sedex;3;3;147;4;low;F;60;1722;1;Acre;segunda-feira, 4 de março de 2024;sábado, 9 de março de 2024;5
129;A;sedex;4;4;200;4;medium;M;16;2060;1;Alagoas;quinta-feira, 18 de julho de 2024;terça-feira, 23 de julho de 2024;4
130;B;sedex;4;5;224;4;medium;M;21;2026;1;Minas Gerais;quarta-feira, 28 de agosto de 2024;sexta-feira, 30 de agosto de 2024;4
131;C;sedex;3;5;179;2;low;F;17;1364;1;Mato Grosso do Sul;sábado, 3 de fevereiro de 2024;domingo, 4 de fevereiro de 2024;4
132;F;sedex;3;4;144;3;low;M;50;1865;1;Mato Grosso do Sul;terça-feira, 2 de janeiro de 2024;sábado, 6 de janeiro de 2024;4
133;D;Transportadora;5;2;247;3;low;M;17;3889;1;Pernambuco;quinta-feira, 26 de setembro de 2024;sexta-feira, 27 de setembro de 2024;4
134;F;Transportadora;5;4;280;6;medium;F;51;3582;1;Bahia;segunda-feira, 4 de maio de 2020;sábado, 9 de maio de 2020;5
135;A;Transportadora;3;3;168;2;medium;F;1;1829;1;Rio Grande do Norte;terça-feira, 3 de setembro de 2024;sábado, 7 de setembro de 2024;4
136;B;Transportadora;3;5;157;3;medium;F;4;1889;1;Goiás;domingo, 27 de junho de 2021;quarta-feira, 30 de junho de 2021;5
137;C;Transportadora;3;3;189;4;medium;F;51;2208;1;Paraíba;segunda-feira, 27 de janeiro de 2020;sábado, 1 de fevereiro de 2020;5
138;F;Transportadora;3;5;162;2;medium;M;7;1739;1;Espírito Santo;quarta-feira, 20 de novembro de 2024;sábado, 23 de novembro de 2024;4
139;D;Transportadora;4;1;207;5;low;M;48;2399;1;Pará;terça-feira, 2 de agosto de 2022;quarta-feira, 3 de agosto de 2022;5
140;F;Transportadora;5;1;237;2;low;F;10;3860;1;Sergipe;sábado, 19 de junho de 2021;quinta-feira, 24 de junho de 2021;4
141;A;Transportadora;4;4;264;3;high;M;59;2020;1;Mato Grosso;segunda-feira, 14 de agosto de 2023;terça-feira, 15 de agosto de 2023;5
142;B;Transportadora;5;4;149;3;low;M;51;1645;1;Pernambuco;domingo, 18 de outubro de 2020;segunda-feira, 19 de outubro de 2020;5
143;C;Transportadora;5;5;162;3;low;M;41;1462;1;#REF!;terça-feira, 7 de junho de 2022;sábado, 11 de junho de 2022;5
144;F;Transportadora;2;1;205;4;medium;F;63;2156;1;Pernambuco;terça-feira, 22 de dezembro de 2020;domingo, 27 de dezembro de 2020;4
145;D;Transportadora;2;1;158;3;medium;F;51;1540;1;Rio Grande do Norte;sexta-feira, 23 de setembro de 2022;quarta-feira, 28 de setembro de 2022;5
146;F;Transportadora;2;2;248;2;low;M;46;3707;1;Amazonas;sábado, 22 de junho de 2024;segunda-feira, 24 de junho de 2024;4
147;A;Transportadora;3;5;191;3;low;M;23;3750;1;Paraíba;domingo, 17 de julho de 2022;quarta-feira, 20 de julho de 2022;5
148;B;Transportadora;4;3;146;4;medium;F;24;1844;1;Tocantins;segunda-feira, 4 de setembro de 2023;sexta-feira, 8 de setembro de 2023;5
149;C;Transportadora;3;3;135;3;low;M;56;1490;1;Rio Grande do Sul;sábado, 4 de fevereiro de 2023;segunda-feira, 6 de fevereiro de 2023;4
150;F;Transportadora;5;1;149;3;low;M;40;1062;1;São Paulo;terça-feira, 21 de abril de 2020;quarta-feira, 22 de abril de 2020;5
151;D;Transportadora;4;4;220;2;medium;F;7;2551;1;Rio Grande do Sul;sábado, 14 de maio de 2022;terça-feira, 17 de maio de 2022;5
152;F;Transportadora;5;3;98;5;medium;M;44;1269;1;Amazonas;segunda-feira, 6 de março de 2023;quarta-feira, 8 de março de 2023;5
153;A;Transportadora;3;4;97;4;low;M;32;1238;1;Maranhão;sábado, 21 de dezembro de 2024;quinta-feira, 26 de dezembro de 2024;5
154;B;Transportadora;3;3;183;2;low;M;53;3932;1;Mato Grosso;sexta-feira, 15 de março de 2024;domingo, 17 de março de 2024;5
155;C;PAC;3;3;162;3;medium;F;8;1869;1;Espírito Santo;segunda-feira, 24 de junho de 2024;terça-feira, 25 de junho de 2024;5
156;F;PAC;5;1;114;4;low;F;47;1443;1;Roraima;domingo, 31 de maio de 2020;quinta-feira, 4 de junho de 2020;4
157;D;PAC;6;3;275;5;low;M;41;2491;1;Alagoas;domingo, 3 de maio de 2020;sexta-feira, 8 de maio de 2020;5
158;F;PAC;3;2;203;2;medium;F;39;3845;1;Sergipe;segunda-feira, 13 de maio de 2024;quinta-feira, 16 de maio de 2024;4
159;A;PAC;5;5;205;2;high;M;65;3671;1;Paraná;sábado, 18 de fevereiro de 2023;domingo, 19 de fevereiro de 2023;5
160;B;PAC;3;3;149;3;low;F;63;1946;1;Mato Grosso do Sul;terça-feira, 2 de maio de 2023;quarta-feira, 3 de maio de 2023;4
161;C;PAC;2;2;112;4;medium;M;56;1138;1;Santa Catarina;sábado, 17 de abril de 2021;segunda-feira, 19 de abril de 2021;5
162;F;PAC;3;1;207;3;medium;F;56;3482;1;Roraima;sexta-feira, 24 de abril de 2020;domingo, 26 de abril de 2020;5
163;D;PAC;4;1;261;4;low;F;58;3427;1;Rio Grande do Norte;domingo, 31 de março de 2024;quinta-feira, 4 de abril de 2024;4
164;F;PAC;5;2;274;3;medium;M;6;3375;1;Rio de Janeiro;sábado, 24 de setembro de 2022;domingo, 25 de setembro de 2022;4
165;A;PAC;3;5;141;2;low;M;52;1692;1;Roraima;terça-feira, 21 de dezembro de 2021;domingo, 26 de dezembro de 2021;5
166;B;PAC;3;3;166;4;medium;F;17;1498;1;Alagoas;quarta-feira, 26 de fevereiro de 2020;segunda-feira, 2 de março de 2020;5
167;C;PAC;5;2;141;3;high;F;34;1020;1;Rio Grande do Norte;domingo, 28 de maio de 2023;quinta-feira, 1 de junho de 2023;4
168;F;PAC;4;5;152;3;low;M;43;1709;1;Sergipe;domingo, 30 de julho de 2023;terça-feira, 1 de agosto de 2023;4
169;D;PAC;4;2;250;3;low;F;53;2478;1;Minas Gerais;quinta-feira, 15 de outubro de 2020;domingo, 18 de outubro de 2020;5
170;F;PAC;4;3;161;3;medium;F;28;1809;1;Acre;terça-feira, 17 de dezembro de 2024;sábado, 21 de dezembro de 2024;4
171;A;PAC;4;3;185;3;medium;F;10;2263;1;Alagoas;sexta-feira, 5 de fevereiro de 2021;terça-feira, 9 de fevereiro de 2021;4
172;B;PAC;4;4;176;4;high;F;52;1096;1;Mato Grosso;quarta-feira, 30 de outubro de 2024;segunda-feira, 4 de novembro de 2024;5
173;C;PAC;3;4;148;3;low;M;56;1550;1;Piauí;sábado, 30 de julho de 2022;quarta-feira, 3 de agosto de 2022;5
174;F;PAC;3;2;270;3;low;F;63;2751;1;Rondônia;sábado, 3 de abril de 2021;quarta-feira, 7 de abril de 2021;4
175;D;PAC;3;3;242;3;low;F;51;3935;1;Rio de Janeiro;quinta-feira, 1 de abril de 2021;sábado, 3 de abril de 2021;5
176;F;PAC;4;4;150;2;medium;M;3;1285;1;Rio Grande do Norte;terça-feira, 15 de março de 2022;domingo, 20 de março de 2022;4
177;A;PAC;4;5;192;3;high;M;20;3872;1;Sergipe;sábado, 30 de outubro de 2021;terça-feira, 2 de novembro de 2021;5
178;B;PAC;4;5;116;3;medium;M;54;1314;1;Pernambuco;sábado, 14 de maio de 2022;domingo, 15 de maio de 2022;4
179;C;PAC;3;3;192;3;medium;F;2;3995;1;São Paulo;terça-feira, 2 de abril de 2024;sexta-feira, 5 de abril de 2024;5
180;F;PAC;5;5;255;4;medium;M;3;3440;1;Piauí;segunda-feira, 17 de julho de 2023;terça-feira, 18 de julho de 2023;4
181;D;PAC;4;1;161;7;medium;F;18;1294;1;Rio de Janeiro;quinta-feira, 23 de abril de 2020;domingo, 26 de abril de 2020;4
182;F;PAC;4;5;157;3;low;M;20;1487;1;Goiás;sábado, 23 de setembro de 2023;terça-feira, 26 de setembro de 2023;5
183;A;PAC;3;2;164;10;high;F;28;1940;1;Rio Grande do Sul;terça-feira, 4 de abril de 2023;domingo, 9 de abril de 2023;5
184;B;PAC;3;5;162;7;medium;F;16;1052;1;Santa Catarina;sábado, 30 de abril de 2022;quinta-feira, 5 de maio de 2022;5
185;C;PAC;3;3;146;2;low;M;50;1486;1;Pernambuco;sábado, 11 de janeiro de 2020;terça-feira, 14 de janeiro de 2020;5
186;F;PAC;3;2;209;3;medium;M;54;3001;1;#REF!;sábado, 5 de fevereiro de 2022;quinta-feira, 10 de fevereiro de 2022;4
187;D;PAC;5;4;134;2;medium;F;55;1386;1;Rondônia;quarta-feira, 15 de janeiro de 2020;domingo, 19 de janeiro de 2020;4
188;F;PAC;2;1;222;2;medium;M;5;3778;1;Bahia;sexta-feira, 3 de novembro de 2023;quarta-feira, 8 de novembro de 2023;4
189;A;PAC;2;5;139;3;low;F;27;1233;1;Pernambuco;terça-feira, 23 de agosto de 2022;quinta-feira, 25 de agosto de 2022;4
