id_envio,corredor_armazenagem,metodo_envio,ligacoes_cliente,avaliacao_cliente,preco,qtd_itens,importancia,genero,desconto,peso_g,entrega_no_prazo,destino,data_envio,data_entrega,avaliacao_entrega,ingestion_timestamp,dias_entrega,categoria_entrega,avaliacao_final,entrega_rapida,faixa_preco,cliente_exigente
1841,C,pac,2,3,274.0,3,high,F,24,3829,1,Distrito Federal,2022-10-29,2022-11-02,5,2025-05-20T23:01:37.806Z,4,normal,4.0,0,alto,0
5471,C,sedex,6,5,264.0,4,low,M,1,1039,1,Alagoas,2022-12-20,2022-12-25,5,2025-05-20T23:01:37.806Z,5,normal,5.0,0,alto,0
6673,D,pac,3,5,153.0,4,low,F,10,5897,0,Rondônia,2021-11-08,2021-12-11,2,2025-05-20T23:01:37.806Z,33,lenta,3.5,0,médio,1
9057,A,transportadora,2,5,243.0,3,high,M,7,4486,0,Espírito Santo,2024-05-14,2024-06-23,1,2025-05-20T23:01:37.806Z,40,lenta,3.0,0,alto,1
9920,F,pac,6,3,277.0,4,medium,M,6,1623,1,Goiás,2022-02-19,2022-02-24,4,2025-05-20T23:01:37.806Z,5,normal,3.5,0,alto,0
10576,B,pac,4,3,184.0,3,low,F,5,4712,1,Rondônia,2023-12-13,2023-12-16,5,2025-05-20T23:01:37.806Z,3,normal,4.0,0,médio,0
620,F,pac,3,5,224.0,2,low,M,13,3891,1,Alagoas,2022-05-15,2022-05-18,4,2025-05-20T23:01:37.806Z,3,normal,4.5,0,alto,0
865,D,pac,3,4,187.0,2,high,M,8,3725,1,Sergipe,2021-11-04,2021-11-08,5,2025-05-20T23:01:37.806Z,4,normal,4.5,0,médio,0
1063,D,pac,4,2,272.0,4,low,M,62,2307,1,Roraima,2021-04-11,2021-04-12,5,2025-05-20T23:01:37.806Z,1,expressa,3.5,1,alto,1
4548,F,pac,6,4,255.0,4,low,F,3,1569,1,Roraima,2024-09-29,2024-10-01,5,2025-05-20T23:01:37.806Z,2,expressa,4.5,1,alto,0
6528,F,pac,5,3,222.0,3,medium,F,10,4597,0,Distrito Federal,2024-06-11,2024-06-23,0,2025-05-20T23:01:37.806Z,12,lenta,1.5,0,alto,1
9176,F,transportadora,5,3,224.0,5,medium,M,9,1643,1,Pará,2024-08-18,2024-08-20,4,2025-05-20T23:01:37.806Z,2,expressa,3.5,1,alto,0
9887,C,pac,6,3,298.0,4,low,F,9,1515,1,Piauí,2022-07-08,2022-07-13,4,2025-05-20T23:01:37.806Z,5,normal,3.5,0,alto,0
1672,B,pac,3,2,192.0,3,low,F,19,3183,1,Roraima,2023-11-22,2023-11-23,5,2025-05-20T23:01:37.806Z,1,expressa,3.5,1,médio,1
1753,D,pac,3,1,192.0,3,medium,M,35,2258,1,Sergipe,2020-06-26,2020-06-29,4,2025-05-20T23:01:37.806Z,3,normal,2.5,0,médio,1
2239,D,pac,2,5,236.0,3,medium,F,13,2171,1,Distrito Federal,2022-09-11,2022-09-14,4,2025-05-20T23:01:37.806Z,3,normal,4.5,0,alto,0
2626,B,pac,4,4,170.0,2,low,M,34,1512,1,Distrito Federal,2022-07-28,2022-07-31,5,2025-05-20T23:01:37.806Z,3,normal,4.5,0,médio,0
2934,F,pac,6,3,273.0,4,medium,F,32,2532,1,Mato Grosso do Sul,2023-03-04,2023-03-06,5,2025-05-20T23:01:37.806Z,2,expressa,4.0,1,alto,0
6111,A,pac,4,2,264.0,3,low,M,10,5137,1,Mato Grosso,2020-03-11,2020-03-12,5,2025-05-20T23:01:37.806Z,1,expressa,3.5,1,alto,1
7727,C,pac,7,3,308.0,4,medium,M,6,1113,0,Minas Gerais,2024-07-25,2024-08-26,0,2025-05-20T23:01:37.806Z,32,lenta,1.5,0,alto,1
8307,A,pac,5,4,252.0,5,low,M,9,1133,1,Paraíba,2021-12-04,2021-12-09,4,2025-05-20T23:01:37.806Z,5,normal,4.0,0,alto,0
8971,D,pac,4,5,247.0,2,medium,F,9,4656,0,Pará,2022-03-25,2022-04-21,1,2025-05-20T23:01:37.806Z,27,lenta,3.0,0,alto,1
9250,B,pac,2,1,228.0,2,low,F,2,5435,0,Maranhão,2022-12-19,2023-01-16,2,2025-05-20T23:01:37.806Z,28,lenta,1.5,0,alto,1
9427,D,sedex,6,5,245.0,4,low,M,3,1716,0,Roraima,2023-11-21,2023-12-17,0,2025-05-20T23:01:37.806Z,26,lenta,2.5,0,alto,1
10004,F,transportadora,3,5,125.0,2,low,F,2,4182,1,Santa Catarina,2023-12-06,2023-12-11,4,2025-05-20T23:01:37.806Z,5,normal,4.5,0,médio,0
10479,A,pac,4,1,204.0,4,low,F,3,1667,0,Tocantins,2021-12-18,2021-12-31,1,2025-05-20T23:01:37.806Z,13,lenta,1.0,0,alto,1
1303,D,pac,4,1,152.0,3,medium,F,65,1706,1,Santa Catarina,2020-08-26,2020-08-30,4,2025-05-20T23:01:37.806Z,4,normal,2.5,0,médio,1
2260,B,pac,3,4,256.0,4,low,M,11,3030,1,Tocantins,2021-05-02,2021-05-07,5,2025-05-20T23:01:37.806Z,5,normal,4.5,0,alto,0
5664,F,pac,4,2,266.0,2,low,F,8,5516,0,Mato Grosso do Sul,2023-04-11,2023-05-19,1,2025-05-20T23:01:37.806Z,38,lenta,1.5,0,alto,1
6144,F,sedex,4,3,243.0,4,low,F,9,4811,0,Rio de Janeiro,2024-10-15,2024-11-12,1,2025-05-20T23:01:37.806Z,28,lenta,2.0,0,alto,1
6629,C,pac,3,4,172.0,2,low,M,5,5919,0,São Paulo,2024-04-29,2024-05-07,0,2025-05-20T23:01:37.806Z,8,lenta,2.0,0,médio,1
9245,C,pac,4,1,224.0,2,low,M,10,4653,1,Amazonas,2024-02-04,2024-02-05,4,2025-05-20T23:01:37.806Z,1,expressa,2.5,1,alto,1
9396,F,pac,6,3,255.0,4,low,M,6,1654,1,Espírito Santo,2022-08-14,2022-08-16,4,2025-05-20T23:01:37.806Z,2,expressa,3.5,1,alto,0
10044,F,pac,4,2,232.0,2,low,M,5,4907,0,Mato Grosso,2020-07-26,2020-08-16,0,2025-05-20T23:01:37.806Z,21,lenta,1.0,0,alto,1
387,A,sedex,3,1,251.0,3,medium,M,42,3698,1,Rio Grande do Norte,2022-05-19,2022-05-24,4,2025-05-20T23:01:37.806Z,5,normal,2.5,0,alto,1
647,C,pac,4,2,153.0,3,medium,F,53,1185,1,Paraná,2021-02-04,2021-02-07,5,2025-05-20T23:01:37.806Z,3,normal,3.5,0,médio,1
1556,F,pac,5,4,199.0,2,high,F,20,2553,1,Alagoas,2022-02-01,2022-02-03,5,2025-05-20T23:01:37.806Z,2,expressa,4.5,1,médio,0
2172,F,sedex,4,4,150.0,4,low,M,5,1263,1,Rio Grande do Norte,2020-01-09,2020-01-14,5,2025-05-20T23:01:37.806Z,5,normal,4.5,0,médio,0
3023,C,transportadora,4,2,211.0,2,low,F,39,2520,1,Alagoas,2020-04-22,2020-04-24,4,2025-05-20T23:01:37.806Z,2,expressa,3.0,1,alto,1
3206,F,pac,5,3,194.0,3,low,F,1,4331,0,Pernambuco,2021-07-01,2021-08-05,1,2025-05-20T23:01:37.806Z,35,lenta,2.0,0,médio,1
4649,C,sedex,3,1,108.0,6,medium,F,7,4024,0,Piauí,2023-03-18,2023-04-19,2,2025-05-20T23:01:37.806Z,32,lenta,1.5,0,médio,1
4876,B,pac,4,5,234.0,3,medium,F,3,5142,1,Alagoas,2020-02-28,2020-03-03,4,2025-05-20T23:01:37.806Z,4,normal,4.5,0,alto,0
7293,A,pac,3,2,221.0,2,medium,M,10,4715,1,Piauí,2024-02-17,2024-02-19,5,2025-05-20T23:01:37.806Z,2,expressa,3.5,1,alto,1
8411,C,pac,3,3,241.0,2,high,M,2,4836,1,Rio Grande do Norte,2021-03-31,2021-04-03,4,2025-05-20T23:01:37.806Z,3,normal,3.5,0,alto,0
8673,A,pac,3,2,224.0,3,medium,M,8,5869,0,Santa Catarina,2021-09-26,2021-10-28,2,2025-05-20T23:01:37.806Z,32,lenta,2.0,0,alto,1
8871,A,pac,5,3,239.0,5,low,M,10,1784,0,Piauí,2022-12-01,2023-01-07,1,2025-05-20T23:01:37.806Z,37,lenta,2.0,0,alto,1
2691,A,pac,5,1,236.0,4,high,F,64,3231,1,Rio de Janeiro,2021-12-10,2021-12-11,4,2025-05-20T23:01:37.806Z,1,expressa,2.5,1,alto,1
2812,B,pac,3,4,230.0,2,medium,F,15,2302,1,Paraná,2024-05-21,2024-05-25,5,2025-05-20T23:01:37.806Z,4,normal,4.5,0,alto,0
4430,F,pac,4,2,158.0,3,low,M,3,4527,0,Rondônia,2023-09-08,2023-09-13,1,2025-05-20T23:01:37.806Z,5,normal,1.5,0,médio,1
4623,A,pac,4,1,223.0,3,low,F,9,4832,0,Amazonas,2021-06-16,2021-06-23,0,2025-05-20T23:01:37.806Z,7,lenta,0.5,0,alto,1
4951,D,pac,3,3,165.0,4,medium,M,3,4235,0,Rio de Janeiro,2024-10-11,2024-11-14,1,2025-05-20T23:01:37.806Z,34,lenta,2.0,0,médio,1
5295,A,pac,5,3,229.0,2,medium,M,10,5149,0,Minas Gerais,2022-03-28,2022-05-04,3,2025-05-20T23:01:37.806Z,37,lenta,3.0,0,alto,0
6869,C,pac,6,4,261.0,4,low,F,5,1794,1,Paraíba,2024-12-22,2024-12-23,5,2025-05-20T23:01:37.806Z,1,expressa,4.5,1,alto,0
7601,C,pac,4,3,139.0,2,high,F,2,4041,1,Goiás,2020-01-12,2020-01-14,5,2025-05-20T23:01:37.806Z,2,expressa,4.0,1,médio,0
7977,A,pac,3,4,242.0,10,high,M,5,4127,0,Distrito Federal,2022-01-20,2022-02-05,0,2025-05-20T23:01:37.806Z,16,lenta,2.0,0,alto,1
8119,D,pac,4,5,163.0,2,medium,F,10,5529,1,Acre,2023-05-20,2023-05-23,4,2025-05-20T23:01:37.806Z,3,normal,4.5,0,médio,0
8122,B,pac,4,2,197.0,2,medium,M,3,4715,1,Ceará,2021-06-04,2021-06-07,4,2025-05-20T23:01:37.806Z,3,normal,3.0,0,médio,1
9108,F,pac,5,2,196.0,3,medium,M,4,4868,1,Rondônia,2022-12-29,2023-01-03,4,2025-05-20T23:01:37.806Z,5,normal,3.0,0,médio,1
10509,A,pac,4,2,222.0,2,medium,M,10,5115,1,São Paulo,2023-02-09,2023-02-12,5,2025-05-20T23:01:37.806Z,3,normal,3.5,0,alto,1
10886,F,pac,4,4,177.0,5,medium,M,7,4070,1,Alagoas,2020-01-11,2020-01-14,4,2025-05-20T23:01:37.806Z,3,normal,4.0,0,médio,0
332,F,pac,4,3,140.0,3,high,F,46,1072,1,Pará,2020-11-24,2020-11-26,5,2025-05-20T23:01:37.806Z,2,expressa,4.0,1,médio,0
1163,C,pac,4,2,187.0,4,medium,M,37,2200,1,Mato Grosso do Sul,2021-06-23,2021-06-27,4,2025-05-20T23:01:37.806Z,4,normal,3.0,0,médio,1
1596,F,pac,4,3,158.0,3,medium,F,27,1207,1,Espírito Santo,2020-02-17,2020-02-20,4,2025-05-20T23:01:37.806Z,3,normal,3.5,0,médio,0
1848,F,pac,5,1,269.0,3,medium,F,2,2136,1,Minas Gerais,2021-05-30,2021-06-02,4,2025-05-20T23:01:37.806Z,3,normal,2.5,0,alto,1
5643,A,pac,4,4,193.0,3,low,M,5,5090,1,Rondônia,2024-02-17,2024-02-20,5,2025-05-20T23:01:37.806Z,3,normal,4.5,0,médio,0
6925,D,pac,6,1,245.0,4,low,F,10,1606,0,Paraíba,2022-07-22,2022-08-11,2,2025-05-20T23:01:37.806Z,20,lenta,1.5,0,alto,1
7575,A,pac,3,5,270.0,3,medium,M,5,4843,1,Roraima,2023-08-30,2023-08-31,5,2025-05-20T23:01:37.806Z,1,expressa,5.0,1,alto,0
8402,F,pac,3,3,151.0,3,medium,F,1,5297,0,Maranhão,2022-09-25,2022-10-21,0,2025-05-20T23:01:37.806Z,26,lenta,1.5,0,médio,1
8800,B,pac,2,4,248.0,3,low,F,7,4142,0,Amazonas,2022-01-21,2022-02-05,1,2025-05-20T23:01:37.806Z,15,lenta,2.5,0,alto,1
10553,C,transportadora,3,1,185.0,2,medium,F,9,4316,0,Tocantins,2020-11-28,2020-12-07,1,2025-05-20T23:01:37.806Z,9,lenta,1.0,0,médio,1
10631,C,pac,3,2,208.0,2,low,F,6,5344,0,Roraima,2024-11-05,2024-11-10,2,2025-05-20T23:01:37.806Z,5,normal,2.0,0,alto,1
752,F,pac,3,3,162.0,3,medium,M,7,1901,1,Goiás,2024-10-31,2024-11-02,5,2025-05-20T23:01:37.806Z,2,expressa,4.0,1,médio,0
2131,D,pac,4,2,271.0,3,medium,M,50,3448,1,Tocantins,2020-02-28,2020-03-01,5,2025-05-20T23:01:37.806Z,2,expressa,3.5,1,alto,1
2719,D,sedex,3,1,135.0,3,low,F,38,1829,1,Rio de Janeiro,2020-08-11,2020-08-12,5,2025-05-20T23:01:37.806Z,1,expressa,3.0,1,médio,1
2935,D,pac,4,3,135.0,3,low,F,15,1008,1,Ceará,2020-07-27,2020-07-30,5,2025-05-20T23:01:37.806Z,3,normal,4.0,0,médio,0
3128,F,sedex,3,3,193.0,2,low,M,19,3097,1,Tocantins,2022-05-19,2022-05-24,4,2025-05-20T23:01:37.806Z,5,normal,3.5,0,médio,0
3530,F,pac,3,5,197.0,3,low,M,3,5658,0,Pernambuco,2022-09-01,2022-09-28,2,2025-05-20T23:01:37.806Z,27,lenta,3.5,0,médio,1
3610,B,pac,4,2,195.0,5,medium,M,9,5178,1,Rio Grande do Norte,2020-02-27,2020-03-01,5,2025-05-20T23:01:37.806Z,3,normal,3.5,0,médio,1
4028,F,pac,4,5,249.0,2,medium,F,10,4562,0,Goiás,2024-07-18,2024-08-05,3,2025-05-20T23:01:37.806Z,18,lenta,4.0,0,alto,0
5001,A,pac,5,3,131.0,8,low,F,5,4149,1,Minas Gerais,2023-02-14,2023-02-17,4,2025-05-20T23:01:37.806Z,3,normal,3.5,0,médio,0
5424,F,pac,5,3,134.0,2,low,M,10,5279,1,Amazonas,2020-07-06,2020-07-07,4,2025-05-20T23:01:37.806Z,1,expressa,3.5,1,médio,0
7061,C,pac,3,1,173.0,3,low,F,3,4453,1,Rio Grande do Sul,2024-07-28,2024-07-31,5,2025-05-20T23:01:37.806Z,3,normal,3.0,0,médio,1
7783,D,sedex,3,3,196.0,3,low,M,9,4431,0,Alagoas,2021-12-03,2021-12-15,0,2025-05-20T23:01:37.806Z,12,lenta,1.5,0,médio,1
7938,F,sedex,6,1,250.0,2,medium,M,4,4016,0,Distrito Federal,2021-04-18,2021-05-21,1,2025-05-20T23:01:37.806Z,33,lenta,1.0,0,alto,1
9249,A,pac,4,2,231.0,4,medium,M,9,5194,0,Pará,2021-12-04,2021-12-26,2,2025-05-20T23:01:37.806Z,22,lenta,2.0,0,alto,1
9304,B,sedex,2,4,269.0,4,low,M,2,4267,1,Ceará,2021-08-25,2021-08-26,5,2025-05-20T23:01:37.806Z,1,expressa,4.5,1,alto,0
628,B,pac,4,2,190.0,5,high,F,38,3022,1,Paraná,2022-10-19,2022-10-24,5,2025-05-20T23:01:37.806Z,5,normal,3.5,0,médio,1
901,D,pac,5,5,253.0,6,medium,M,59,2627,1,Tocantins,2022-03-29,2022-03-30,4,2025-05-20T23:01:37.806Z,1,expressa,4.5,1,alto,0
1468,B,pac,3,5,250.0,4,low,F,11,3464,1,Maranhão,2023-06-25,2023-06-29,4,2025-05-20T23:01:37.806Z,4,normal,4.5,0,alto,0
2333,C,transportadora,3,2,181.0,4,low,F,18,3696,1,Tocantins,2022-02-09,2022-02-10,5,2025-05-20T23:01:37.806Z,1,expressa,3.5,1,médio,1
3521,C,pac,4,5,223.0,3,medium,F,9,5279,1,Goiás,2023-12-13,2023-12-14,4,2025-05-20T23:01:37.806Z,1,expressa,4.5,1,alto,0
3588,F,pac,5,1,194.0,7,medium,M,8,4770,0,Bahia,2020-11-14,2020-11-19,0,2025-05-20T23:01:37.806Z,5,normal,0.5,0,médio,1
3805,D,pac,3,3,157.0,3,low,M,9,5807,1,Paraíba,2023-09-24,2023-09-28,5,2025-05-20T23:01:37.806Z,4,normal,4.0,0,médio,0
4645,D,sedex,5,3,222.0,2,medium,M,3,4460,1,Sergipe,2023-12-04,2023-12-05,5,2025-05-20T23:01:37.806Z,1,expressa,4.0,1,alto,0
9524,F,pac,3,3,222.0,4,low,F,6,5284,1,Tocantins,2024-04-05,2024-04-10,5,2025-05-20T23:01:37.806Z,5,normal,4.0,0,alto,0
10374,F,pac,3,5,143.0,2,low,M,8,4754,1,Pernambuco,2022-04-07,2022-04-09,4,2025-05-20T23:01:37.806Z,2,expressa,4.5,1,médio,0
353,C,pac,2,2,267.0,3,medium,M,15,2481,1,Bahia,2022-10-23,2022-10-24,5,2025-05-20T23:01:37.806Z,1,expressa,3.5,1,alto,1
3312,F,pac,4,2,206.0,2,medium,M,4,5159,0,Bahia,2023-07-14,2023-08-22,2,2025-05-20T23:01:37.806Z,39,lenta,2.0,0,alto,1
4091,C,sedex,3,4,188.0,4,low,M,2,1059,1,Rio Grande do Sul,2022-01-18,2022-01-21,5,2025-05-20T23:01:37.806Z,3,normal,4.5,0,médio,0
4292,F,pac,4,1,249.0,10,medium,M,7,5580,1,Rio Grande do Norte,2020-11-19,2020-11-22,4,2025-05-20T23:01:37.806Z,3,normal,2.5,0,alto,1
4923,A,sedex,3,1,209.0,2,high,F,1,5779,1,Goiás,2023-11-29,2023-12-02,5,2025-05-20T23:01:37.806Z,3,normal,3.0,0,alto,1
5058,F,sedex,4,2,174.0,3,low,F,3,5920,0,Piauí,2023-06-11,2023-07-02,0,2025-05-20T23:01:37.806Z,21,lenta,1.0,0,médio,1
6467,C,pac,5,3,230.0,4,medium,M,4,5278,1,Piauí,2024-09-15,2024-09-19,4,2025-05-20T23:01:37.806Z,4,normal,3.5,0,alto,0
7002,F,transportadora,4,1,181.0,2,low,M,2,4154,0,Goiás,2020-01-25,2020-02-13,2,2025-05-20T23:01:37.806Z,19,lenta,1.5,0,médio,1
9380,F,pac,6,1,144.0,4,low,F,5,5121,0,Paraíba,2024-11-27,2024-12-24,0,2025-05-20T23:01:37.806Z,27,lenta,0.5,0,médio,1
9523,D,pac,3,1,133.0,4,medium,F,6,5162,0,Ceará,2020-08-29,2020-09-21,2,2025-05-20T23:01:37.806Z,23,lenta,1.5,0,médio,1
10041,A,pac,5,2,146.0,3,low,F,5,4725,0,Maranhão,2024-10-11,2024-11-06,2,2025-05-20T23:01:37.806Z,26,lenta,2.0,0,médio,1
565,D,transportadora,3,3,234.0,2,medium,F,39,2449,1,São Paulo,2022-11-23,2022-11-28,4,2025-05-20T23:01:37.806Z,5,normal,3.5,0,alto,0
679,D,sedex,3,3,117.0,3,medium,M,56,1618,1,Paraná,2020-03-29,2020-04-01,4,2025-05-20T23:01:37.806Z,3,normal,3.5,0,médio,0
834,F,transportadora,3,4,145.0,6,medium,M,57,1949,1,Acre,2023-08-26,2023-08-27,4,2025-05-20T23:01:37.806Z,1,expressa,4.0,1,médio,0
835,D,transportadora,5,4,271.0,3,medium,F,16,2563,1,Piauí,2022-08-16,2022-08-19,4,2025-05-20T23:01:37.806Z,3,normal,4.0,0,alto,0
2022,F,pac,4,5,246.0,6,low,M,64,2271,1,Pernambuco,2020-04-11,2020-04-15,5,2025-05-20T23:01:37.806Z,4,normal,5.0,0,alto,0
2035,D,sedex,3,5,243.0,2,medium,M,42,3421,1,São Paulo,2024-09-30,2024-10-01,4,2025-05-20T23:01:37.806Z,1,expressa,4.5,1,alto,0
5846,F,pac,5,1,138.0,3,low,M,10,5612,1,Amazonas,2021-08-12,2021-08-13,5,2025-05-20T23:01:37.806Z,1,expressa,3.0,1,médio,1
6566,F,sedex,5,2,259.0,5,low,F,3,1724,1,Paraíba,2024-04-18,2024-04-23,4,2025-05-20T23:01:37.806Z,5,normal,3.0,0,alto,1
8036,F,pac,4,4,256.0,5,high,M,1,1927,1,Ceará,2024-12-11,2024-12-16,5,2025-05-20T23:01:37.806Z,5,normal,4.5,0,alto,0
8633,C,transportadora,7,1,255.0,4,medium,F,3,1450,0,Amazonas,2020-08-26,2020-09-08,3,2025-05-20T23:01:37.806Z,13,lenta,2.0,0,alto,1
9163,D,sedex,5,3,222.0,6,low,M,9,1656,0,Paraíba,2023-12-18,2024-01-02,1,2025-05-20T23:01:37.806Z,15,lenta,2.0,0,alto,1
9165,A,sedex,4,2,232.0,5,medium,M,3,1197,0,Tocantins,2023-06-11,2023-07-20,2,2025-05-20T23:01:37.806Z,39,lenta,2.0,0,alto,1
10385,C,pac,3,4,252.0,2,high,M,9,4278,0,Tocantins,2024-10-09,2024-11-10,3,2025-05-20T23:01:37.806Z,32,lenta,3.5,0,alto,0
4,B,transportadora,3,3,176.0,4,medium,M,10,1177,1,Mato Grosso do Sul,2020-09-27,2020-09-30,5,2025-05-20T23:01:37.806Z,3,normal,4.0,0,médio,0
22,B,pac,3,1,232.0,4,medium,F,51,2899,1,Rio Grande do Norte,2023-09-10,2023-09-11,4,2025-05-20T23:01:37.806Z,1,expressa,2.5,1,alto,1
642,F,pac,3,2,148.0,3,medium,F,64,1280,1,Distrito Federal,2020-11-23,2020-11-25,4,2025-05-20T23:01:37.806Z,2,expressa,3.0,1,médio,1
1329,A,pac,5,1,201.0,3,medium,F,65,2488,1,Ceará,2024-05-20,2024-05-25,5,2025-05-20T23:01:37.806Z,5,normal,3.0,0,alto,1
2313,A,sedex,4,4,184.0,3,high,F,27,3967,1,Goiás,2022-03-08,2022-03-11,4,2025-05-20T23:01:37.806Z,3,normal,4.0,0,médio,0
2688,F,pac,3,4,208.0,3,medium,F,23,2100,1,Roraima,2021-02-10,2021-02-15,5,2025-05-20T23:01:37.806Z,5,normal,4.5,0,alto,0
3975,A,transportadora,4,1,150.0,3,low,F,10,4470,0,Pernambuco,2023-05-04,2023-05-19,0,2025-05-20T23:01:37.806Z,15,lenta,0.5,0,médio,1
5108,F,pac,6,1,257.0,4,medium,F,3,5656,1,Distrito Federal,2021-05-03,2021-05-06,5,2025-05-20T23:01:37.806Z,3,normal,3.0,0,alto,1
